iter	R2	RMSE
493	0.9423694377	22304.44845
494	0.9426246145	22255.0138
495	0.9427651819	22227.73514
496	0.9428857755	22204.30591
497	0.9430549815	22171.39039
498	0.9432507235	22133.25178
499	0.9433283854	22118.10181
500	0.9435025917	22084.08056
501	0.9436247511	22060.19241
502	0.9437942041	22027.01314
503	0.9438912692	22007.98504
504	0.9439936283	21987.90131
505	0.9440736554	21972.18653
506	0.9441242192	21962.25158
507	0.9442235798	21942.71581
508	0.9443277087	21922.22383
509	0.9444105377	21905.90988
510	0.9445042529	21887.4371
511	0.9445674304	21874.975
512	0.9447129102	21846.25129
513	0.9448513896	21818.87463
514	0.9449731775	21794.76937
515	0.9450764121	21774.31543
516	0.9452314014	21743.57117
517	0.9453555086	21718.92143
518	0.9454418049	21701.76505
519	0.9454763192	21694.89954
520	0.9456102477	21668.23817
521	0.9457424436	21641.88949
522	0.9458339006	21623.64193
523	0.9459911987	21592.22162
524	0.946169107	21556.62923
525	0.9462717473	21536.06824
526	0.9463612115	21518.13065
527	0.9465124093	21487.78143
528	0.9466787421	21454.34465
529	0.946792164	21431.51428
530	0.9468448701	21420.89695
531	0.9469063356	21408.50841
532	0.9470687432	21375.74022
533	0.9471649189	21356.31162
534	0.9472193405	21345.30998
535	0.9472672354	21335.62306
536	0.9472957077	21329.86236
537	0.9473368037	21321.54479
538	0.9474137296	21305.96675
539	0.9475627212	21275.76247
540	0.9476366729	21260.7547
541	0.9477068582	21246.50145
542	0.9478523268	21216.92921
543	0.9479884918	21189.2109
544	0.9481065774	21165.1435
545	0.9482364465	21138.64284
546	0.9483559266	21114.23277
547	0.9484375586	21097.53889
548	0.948585211	21067.31015
549	0.9486491178	21054.21311
550	0.948700258	21043.72658
551	0.9487711495	21029.1813
552	0.9488801025	21006.80708
553	0.9489812971	20986.00473
554	0.9490733982	20967.05376
555	0.9491336222	20954.65264
556	0.9491778819	20945.53417
557	0.949379865	20903.87066
558	0.9495186784	20875.1891
559	0.9496520072	20847.60359
560	0.9497884032	20819.34568
561	0.949852195	20806.11641
562	0.9500441546	20766.25661
563	0.9501628907	20741.5631
564	0.9502478802	20723.86977
565	0.9502874574	20715.62535
566	0.9504277607	20686.37193
567	0.9505188107	20667.36573
568	0.9505903313	20652.42391
569	0.9507081514	20627.7858
570	0.950812881	20605.86038
571	0.9509080532	20585.91559
572	0.9510415652	20557.90346
573	0.951081266	20549.5665
574	0.9511992442	20524.77164
575	0.9512763469	20508.5512
576	0.9513556208	20491.86058
577	0.9514414222	20473.78032
578	0.9516073579	20438.76861
579	0.9517057424	20417.98155
580	0.9517200984	20414.94659
581	0.951855434	20386.31348
582	0.9520081829	20353.94782
583	0.9520928562	20335.98437
584	0.9522118126	20310.72092
585	0.9522918456	20293.70617
586	0.9523396528	20283.5357
587	0.952502875	20248.77344
588	0.9525935908	20229.42741
589	0.9526991809	20206.88596
590	0.9527906658	20187.33535
591	0.952928744	20157.79171
592	0.9530745088	20126.55636
593	0.9532136551	20096.69395
594	0.9533054432	20076.97087
595	0.9534019431	20056.2144
596	0.9534752303	20040.43648
597	0.9535998797	20013.57225
598	0.9537564852	19979.76968
599	0.9539415317	19939.75443
600	0.9540377406	19918.91804
601	0.9541823463	19887.55908
602	0.9542074752	19882.10462
603	0.9543073146	19860.41876
604	0.9543728585	19846.16925
605	0.954510751	19816.15741
606	0.9545887997	19799.1502
607	0.954662324	19783.11553
608	0.9547266148	19769.0839
609	0.9548613454	19739.64623
610	0.9549833035	19712.96137
611	0.9550849204	19690.6996
612	0.9551881662	19668.05519
613	0.9553309461	19636.69692
614	0.9553878716	19624.18059
615	0.9554943906	19600.73855
616	0.9555126152	19596.725
617	0.9556382067	19569.04387
618	0.9557911441	19535.28259
619	0.9558621648	19519.58474
620	0.955979681	19493.58214
621	0.9560585136	19476.11955
622	0.9561369791	19458.7227
623	0.9562389735	19436.08591
624	0.9563442264	19412.69826
625	0.9563955406	19401.28579
626	0.9564693677	19384.85459
627	0.9565644001	19363.68335
628	0.9566094046	19353.64919
629	0.9567167433	19329.69606
630	0.9568052891	19309.91427
631	0.9568788625	19293.46201
632	0.9569896453	19268.66259
633	0.9570745626	19249.6317
634	0.9571349816	19236.07966
635	0.957225565	19215.74385
636	0.9573578205	19186.014
637	0.9574878028	19156.75019
638	0.9575777801	19136.46676
639	0.957691133	19110.88318
640	0.9577685255	19093.3961
641	0.9578052847	19085.08464
642	0.9578774059	19068.76711
643	0.9579484133	19052.68792
644	0.9580216043	19036.10004
645	0.9581697393	19002.48268
646	0.9582320149	18988.33225
647	0.9582972403	18973.50026
648	0.9583469632	18962.18568
649	0.9584223763	18945.01232
650	0.9584723397	18933.62588
651	0.9585396815	18918.26814
652	0.958642622	18894.76777
653	0.9586872423	18884.57227
654	0.9587158836	18878.02499
655	0.9587968153	18859.51207
656	0.9588219938	18853.74883
657	0.9588858101	18839.13371
658	0.9589724012	18819.2846
659	0.9590696108	18796.97644
660	0.9590905708	18792.16297
661	0.95917202	18773.44637
662	0.9593006609	18743.84733
663	0.9593654047	18728.93271
664	0.9594530288	18708.72835
665	0.9595087447	18695.87003
666	0.9595359947	18689.57796
667	0.9596030107	18674.09481
668	0.9596784499	18656.65024
669	0.9597630276	18637.07306
670	0.959847378	18617.52797
671	0.9598919693	18607.18731
672	0.9599559714	18592.33524
673	0.9600335224	18574.32314
674	0.9600956079	18559.8905
675	0.9602261805	18529.50038
676	0.96033784	18503.47259
677	0.9604055231	18487.67784
678	0.9604849963	18469.11449
679	0.9605418067	18455.83327
680	0.960630338	18435.11721
681	0.9606895757	18421.24276
682	0.9607478927	18407.57373
683	0.9607984314	18395.71965
684	0.9608283294	18388.70335
685	0.960934122	18363.855
686	0.9610079992	18346.48289
687	0.9610734974	18331.06734
688	0.9611768413	18306.71809
689	0.9612178035	18297.05785
690	0.9613224335	18272.35948
691	0.9613524557	18265.26643
692	0.9614301566	18246.89603
693	0.9614436588	18243.7019
694	0.9615367347	18221.66824
695	0.9615917676	18208.62788
696	0.9616893614	18185.47945
697	0.9617630436	18167.98313
698	0.961853367	18146.51222
699	0.9619179753	18131.13849
700	0.9619834035	18115.55636
701	0.9620456927	18100.70935
702	0.96209935	18087.91003
703	0.9621580989	18073.88577
704	0.9622140385	18060.52202
705	0.9622716379	18046.75139
706	0.9623523335	18027.44134
707	0.9624406863	18006.27521
708	0.962484724	17995.71609
709	0.9625270635	17985.55831
710	0.9625624779	17977.05753
711	0.962646529	17956.86601
712	0.9626964933	17944.85237
713	0.9627770954	17925.45507
714	0.9628328481	17912.0256
715	0.9629058217	17894.43282
716	0.9629568277	17882.1258
717	0.962999676	17871.78056
718	0.9630511629	17859.34172
719	0.9631119287	17844.65
720	0.9631685329	17830.95356
721	0.9632394929	17813.76862
722	0.9633149548	17795.47517
723	0.9633684759	17782.48922
724	0.9634154888	17771.07453
725	0.9634607003	17760.0903
726	0.9635076489	17748.67685
727	0.9635802699	17731.00781
728	0.963644529	17715.3586
729	0.9637111848	17699.11107
730	0.9638028057	17676.75386
731	0.9638415311	17667.29563
732	0.9639599998	17638.32953
733	0.9640211052	17623.37039
734	0.964101289	17603.72143
735	0.9641580308	17589.80363
736	0.9642019524	17579.02285
737	0.9642713817	17561.96755
738	0.9644221155	17524.88272
739	0.964564154	17489.86521
740	0.9646413562	17470.8027
741	0.9647142953	17452.77371
742	0.9647937718	17433.10756
743	0.9648769494	17412.50182
744	0.9649326988	17398.67725
745	0.9649762048	17387.88112
746	0.9650422761	17371.47253
747	0.9650679336	17365.09639
748	0.9651419505	17346.68935
749	0.9651722422	17339.15055
750	0.9652195932	17327.3596
751	0.9652553385	17318.45327
752	0.9652943694	17308.72309
753	0.9653658945	17290.87804
754	0.9654402424	17272.30919
755	0.9655409629	17247.12172
756	0.9655846662	17236.18128
757	0.9656262945	17225.7538
758	0.9656840187	17211.28402
759	0.9657667306	17190.52929
760	0.9657996535	17182.26104
761	0.9658195711	17177.25701
762	0.9658865503	17160.41869
763	0.9659130051	17153.76348
764	0.9659894365	17134.52122
765	0.9660406402	17121.61815
766	0.966095663	17107.74184
767	0.9661759821	17087.46578
768	0.9662071586	17079.58896
769	0.9662639953	17065.21971
770	0.9663583477	17041.33912
771	0.9664188386	17026.01123
772	0.9664446113	17019.47647
